"filename", "language", "C++", "CMake", "Markdown", "XML", "comment", "blank", "total"
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\QtDeploySupport.cmake", "CMake", 0, 56, 0, 0, 0, 5, 61
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\deploy_screenCapture_3f26f682e3.cmake", "CMake", 0, 7, 0, 0, 0, 2, 9
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\screenCapture-plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 1
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.rcc\qrc_app_resources.cpp", "C++", 1219, 0, 0, 0, 81, 23, 1323
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_aboutdialog.cpp", "C++", 117, 0, 0, 0, 12, 19, 148
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_capturesettingsdialog.cpp", "C++", 133, 0, 0, 0, 14, 19, 166
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_closedialog.cpp", "C++", 133, 0, 0, 0, 14, 19, 166
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_draggablehistorythumbbutton.cpp", "C++", 135, 0, 0, 0, 13, 20, 168
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_globalhotkeymanager.cpp", "C++", 130, 0, 0, 0, 13, 20, 163
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_longcapturesessioncontroller.cpp", "C++", 317, 0, 0, 0, 30, 29, 376
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_mainwindow.cpp", "C++", 442, 0, 0, 0, 43, 19, 504
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_pinnedimagewindow.cpp", "C++", 90, 0, 0, 0, 9, 17, 116
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_selectionoverlay.cpp", "C++", 315, 0, 0, 0, 29, 28, 372
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_showtip.cpp", "C++", 90, 0, 0, 0, 9, 17, 116
