"filename", "language", "C++", "Markdown", "CMake", "XML", "comment", "blank", "total"
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\QtDeploySupport.cmake", "CMake", 0, 0, 56, 0, 0, 5, 61
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\deploy_screenCapture_3f26f682e3.cmake", "CMake", 0, 0, 7, 0, 0, 2, 9
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.qt\screenCapture-plugins.cmake", "CMake", 0, 0, 1, 0, 0, 0, 1
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\.rcc\qrc_app_resources.cpp", "C++", 1219, 0, 0, 0, 81, 23, 1323
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_aboutdialog.cpp", "C++", 117, 0, 0, 0, 12, 19, 148
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_capturesettingsdialog.cpp", "C++", 133, 0, 0, 0, 14, 19, 166
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_closedialog.cpp", "C++", 133, 0, 0, 0, 14, 19, 166
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_draggablehistorythumbbutton.cpp", "C++", 135, 0, 0, 0, 13, 20, 168
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_globalhotkeymanager.cpp", "C++", 130, 0, 0, 0, 13, 20, 163
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_longcapturesessioncontroller.cpp", "C++", 317, 0, 0, 0, 30, 29, 376
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_mainwindow.cpp", "C++", 442, 0, 0, 0, 43, 19, 504
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_pinnedimagewindow.cpp", "C++", 90, 0, 0, 0, 9, 17, 116
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_selectionoverlay.cpp", "C++", 315, 0, 0, 0, 29, 28, 372
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\EWIEGA46WW\moc_showtip.cpp", "C++", 90, 0, 0, 0, 9, 17, 116
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_aboutdialog.h", "C++", 136, 0, 0, 0, 7, 43, 186
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_capturesettingsdialog.h", "C++", 245, 0, 0, 0, 7, 77, 329
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_closedialog.h", "C++", 79, 0, 0, 0, 7, 27, 113
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_mainwindow.h", "C++", 348, 0, 0, 0, 7, 105, 460
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\include\ui_showtip.h", "C++", 39, 0, 0, 0, 7, 15, 61
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\moc_predefs.h", "C++", 485, 0, 0, 0, 0, 1, 486
"e:\qt_project\screenCapture\.codex_cmake_check_mingw\screenCapture_autogen\mocs_compilation.cpp", "C++", 10, 0, 0, 0, 1, 1, 12
"e:\qt_project\screenCapture\AGENTS.md", "Markdown", 0, 29, 0, 0, 0, 3, 32
"e:\qt_project\screenCapture\CMakeLists.txt", "CMake", 0, 0, 133, 0, 0, 14, 147
"e:\qt_project\screenCapture\README.md", "Markdown", 0, 131, 0, 0, 0, 72, 203
"e:\qt_project\screenCapture\aboutdialog.cpp", "C++", 37, 0, 0, 0, 1, 9, 47
"e:\qt_project\screenCapture\aboutdialog.h", "C++", 21, 0, 0, 0, 10, 9, 40
"e:\qt_project\screenCapture\autostartmanager.cpp", "C++", 93, 0, 0, 0, 0, 13, 106
"e:\qt_project\screenCapture\autostartmanager.h", "C++", 11, 0, 0, 0, 9, 4, 24
"e:\qt_project\screenCapture\capturehistorymanager.cpp", "C++", 136, 0, 0, 0, 1, 31, 168
"e:\qt_project\screenCapture\capturehistorymanager.h", "C++", 32, 0, 0, 0, 31, 11, 74
